Data;Tempo (us);Tempo (ms);Temperatura (°C)
22/12/2022 10:04:45;375618211;375618;23,0
22/12/2022 10:04:45;376118316;376118;23,0
22/12/2022 10:04:46;376618373;376618;23,0
22/12/2022 10:04:46;377118446;377118;23,0
22/12/2022 10:04:47;377618543;377618;23,0
22/12/2022 10:04:47;378118578;378118;23,0
22/12/2022 10:04:48;378618650;378618;23,0
22/12/2022 10:04:48;379118673;379118;23,0
22/12/2022 10:04:49;379618760;379618;23,0
22/12/2022 10:04:49;380118836;380118;23,0
22/12/2022 10:04:50;380618847;380618;23,0
22/12/2022 10:04:50;381118937;381118;23,0
22/12/2022 10:04:51;381618989;381618;23,0
22/12/2022 10:04:51;382119014;382119;23,0
22/12/2022 10:04:52;382619085;382619;23,0
22/12/2022 10:04:52;383119121;383119;23,0
22/12/2022 10:04:53;383619203;383619;23,0
22/12/2022 10:04:53;384119236;384119;23,0
22/12/2022 10:04:54;384619265;384619;23,0
22/12/2022 10:04:54;385119333;385119;23,0
22/12/2022 10:04:55;385619405;385619;23,0
22/12/2022 10:04:55;386119411;386119;23,0
22/12/2022 10:04:56;386619431;386619;23,0
22/12/2022 10:04:56;387119456;387119;23,0
22/12/2022 10:04:57;387619459;387619;23,0
22/12/2022 10:04:57;388119532;388119;23,0
22/12/2022 10:04:58;388619537;388619;23,0
22/12/2022 10:04:58;389119549;389119;23,0
22/12/2022 10:04:59;389619648;389619;23,0
22/12/2022 10:04:59;390119711;390119;23,0
22/12/2022 10:05:00;390619740;390619;23,0
22/12/2022 10:05:00;391119756;391119;23,0
22/12/2022 10:05:01;391619818;391619;23,0
22/12/2022 10:05:01;392119914;392119;23,0
22/12/2022 10:05:02;392619985;392619;23,0
22/12/2022 10:05:02;393120047;393120;23,0
22/12/2022 10:05:03;393620096;393620;23,0
22/12/2022 10:05:03;394120196;394120;23,0
22/12/2022 10:05:04;394620250;394620;23,0
22/12/2022 10:05:04;395120316;395120;23,0
22/12/2022 10:05:05;395620331;395620;23,0
22/12/2022 10:05:05;396120401;396120;23,0
22/12/2022 10:05:06;396620474;396620;23,0
22/12/2022 10:05:06;397120566;397120;23,0
22/12/2022 10:05:07;397620634;397620;23,0
22/12/2022 10:05:07;398120709;398120;23,0
22/12/2022 10:05:08;398620797;398620;23,0
22/12/2022 10:05:08;399120864;399120;23,0
22/12/2022 10:05:09;399620898;399620;23,0
22/12/2022 10:05:09;400120918;400120;23,0
22/12/2022 10:05:10;400621004;400621;23,0
22/12/2022 10:05:10;401121014;401121;23,0
22/12/2022 10:05:11;401621073;401621;23,0
22/12/2022 10:05:11;402121095;402121;23,0
22/12/2022 10:05:12;402621101;402621;23,0
22/12/2022 10:05:12;403121165;403121;23,0
22/12/2022 10:05:13;403621166;403621;23,0
22/12/2022 10:05:13;404121213;404121;23,0
22/12/2022 10:05:14;404621277;404621;23,0
22/12/2022 10:05:14;405121329;405121;23,0
22/12/2022 10:05:15;405621340;405621;23,0
22/12/2022 10:05:15;406121348;406121;23,0
22/12/2022 10:05:16;406621364;406621;23,0
22/12/2022 10:05:16;407121458;407121;23,0
22/12/2022 10:05:17;407621503;407621;23,0
22/12/2022 10:05:17;408121586;408121;23,0
22/12/2022 10:05:18;408621651;408621;23,0
22/12/2022 10:05:18;409121664;409121;23,0
22/12/2022 10:05:19;409621749;409621;23,0
22/12/2022 10:05:19;410121847;410121;23,0
22/12/2022 10:05:20;410621909;410621;23,0
22/12/2022 10:05:20;411121987;411121;23,0
22/12/2022 10:05:21;411622073;411622;23,0
22/12/2022 10:05:21;412122178;412122;23,0
22/12/2022 10:05:22;412622247;412622;23,0
22/12/2022 10:05:22;413122339;413122;23,0
22/12/2022 10:05:23;413622364;413622;23,0
22/12/2022 10:05:23;414122372;414122;23,0
22/12/2022 10:05:24;414622407;414622;23,0
22/12/2022 10:05:24;415122501;415122;23,0
22/12/2022 10:05:25;415622606;415622;23,0
22/12/2022 10:05:25;416122653;416122;23,0
22/12/2022 10:05:26;416622666;416622;23,0
22/12/2022 10:05:26;417122742;417122;23,0
22/12/2022 10:05:27;417622850;417622;23,0
